CVE-2006-3566,0,search.results.php,PROPN,NNP,nsubj,O,
CVE-2006-3566,0,in,ADP,IN,prep,O,
CVE-2006-3566,0,HiveMail,PROPN,NNP,pobj,pn,
CVE-2006-3566,0,3.1,NUM,CD,nummod,vre,
CVE-2006-3566,0,and,CCONJ,CC,cc,=,
CVE-2006-3566,0,earlier,ADV,RBR,advmod,<,
CVE-2006-3566,0,allows,VERB,VBZ,ROOT,verb,
CVE-2006-3566,0,remote,ADJ,JJ,amod,O,
CVE-2006-3566,0,attackers,NOUN,NNS,nsubj,O,
CVE-2006-3566,0,to,PART,TO,aux,O,
CVE-2006-3566,0,obtain,VERB,VB,ccomp,O,
CVE-2006-3566,0,the,DET,DT,det,O,
CVE-2006-3566,0,installation,NOUN,NN,compound,O,
CVE-2006-3566,0,path,NOUN,NN,dobj,O,
CVE-2006-3566,0,via,ADP,IN,prep,O,
CVE-2006-3566,0,certain,ADJ,JJ,amod,O,
CVE-2006-3566,0,manipulations,NOUN,NNS,pobj,O,
CVE-2006-3566,0,related,VERB,VBN,acl,O,
CVE-2006-3566,0,to,ADP,IN,prep,O,
CVE-2006-3566,0,the,DET,DT,det,O,
CVE-2006-3566,0,(,PUNCT,-LRB-,punct,O,
CVE-2006-3566,0,1,NUM,CD,nummod,O,
CVE-2006-3566,0,),PUNCT,-RRB-,punct,O,
CVE-2006-3566,0,searchdate,NOUN,NN,pobj,O,
CVE-2006-3566,0,and,CCONJ,CC,cc,O,
CVE-2006-3566,0,(,PUNCT,-LRB-,punct,O,
CVE-2006-3566,0,2,PUNCT,LS,meta,O,
CVE-2006-3566,0,),PUNCT,-RRB-,punct,O,
CVE-2006-3566,0,folderids,ADJ,JJ,amod,O,
CVE-2006-3566,0,parameters,NOUN,NNS,conj,O,
CVE-2006-3566,0,.,PUNCT,.,punct,O,
CVE-2018-0422,0,A,DET,DT,det,O,
CVE-2018-0422,0,vulnerability,NOUN,NN,nsubj,O,
CVE-2018-0422,0,in,ADP,IN,prep,O,
CVE-2018-0422,0,the,DET,DT,det,O,
CVE-2018-0422,0,folder,NOUN,NN,compound,O,
CVE-2018-0422,0,permissions,NOUN,NNS,pobj,O,
CVE-2018-0422,0,of,ADP,IN,prep,O,
CVE-2018-0422,0,Cisco,PROPN,NNP,compound,O,
CVE-2018-0422,0,Webex,PROPN,NNP,compound,pn,
CVE-2018-0422,0,Meetings,PROPN,NNP,compound,pn,
CVE-2018-0422,0,client,NOUN,NN,pobj,O,
CVE-2018-0422,0,for,ADP,IN,prep,O,
CVE-2018-0422,0,Windows,PROPN,NNP,pobj,O,
CVE-2018-0422,0,could,VERB,MD,aux,O,
CVE-2018-0422,0,allow,VERB,VB,ROOT,O,
CVE-2018-0422,0,an,DET,DT,det,O,
CVE-2018-0422,0,authenticated,VERB,VBN,amod,O,
CVE-2018-0422,0,",",PUNCT,",",punct,O,
CVE-2018-0422,0,local,ADJ,JJ,amod,O,
CVE-2018-0422,0,attacker,NOUN,NN,nsubj,O,
CVE-2018-0422,0,to,PART,TO,aux,O,
